epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.7546,1.91524,1.66918,1.34044,0.88274,0.86177,0.91938,0.5338,1.44706,0.91499,1.13576,0.000663551,0.000663551,0.000663551
2,63.9289,1.71826,1.03358,1.22213,0.90478,0.88005,0.93483,0.53589,1.45558,0.83544,1.13285,0.00131705,0.00131705,0.00131705
3,92.1838,1.69495,0.98993,1.21867,0.91234,0.8847,0.94306,0.55854,1.42702,0.77783,1.12699,0.00195735,0.00195735,0.00195735
4,115.123,1.68085,0.96413,1.21392,0.91109,0.88979,0.94913,0.57509,1.36616,0.75218,1.10309,0.0019406,0.0019406,0.0019406
5,147.031,1.66017,0.94203,1.20962,0.91761,0.89157,0.94891,0.57377,1.36911,0.72772,1.10717,0.0019208,0.0019208,0.0019208
6,175.809,1.65988,0.9295,1.20847,0.90938,0.89321,0.9491,0.57926,1.37127,0.74232,1.10638,0.001901,0.001901,0.001901
7,197.735,1.64266,0.90647,1.2039,0.90638,0.89141,0.94626,0.57305,1.36032,0.74955,1.10267,0.0018812,0.0018812,0.0018812
8,226.185,1.636,0.89859,1.19872,0.91549,0.90218,0.9503,0.57294,1.37391,0.71182,1.10969,0.0018614,0.0018614,0.0018614
9,253.991,1.62526,0.88084,1.19488,0.92257,0.88341,0.94889,0.56102,1.43112,0.73102,1.13423,0.0018416,0.0018416,0.0018416
10,275.953,1.61931,0.88082,1.19217,0.92415,0.90414,0.95821,0.59279,1.34205,0.68479,1.0895,0.0018218,0.0018218,0.0018218
11,311.33,1.60984,0.8656,1.18757,0.92015,0.90374,0.95652,0.59197,1.34009,0.6792,1.09937,0.001802,0.001802,0.001802
12,337.659,1.5973,0.8469,1.1834,0.92997,0.90896,0.96138,0.60029,1.32195,0.6475,1.085,0.0017822,0.0017822,0.0017822
13,362.055,1.60699,0.85252,1.18434,0.92629,0.90041,0.95739,0.59581,1.33178,0.67563,1.09163,0.0017624,0.0017624,0.0017624
14,390.99,1.59973,0.84637,1.18096,0.90314,0.90244,0.94943,0.59428,1.30841,0.71845,1.08296,0.0017426,0.0017426,0.0017426
15,412.933,1.59605,0.83679,1.17828,0.92996,0.90954,0.96143,0.60995,1.29282,0.65073,1.07406,0.0017228,0.0017228,0.0017228
16,442.657,1.58469,0.83544,1.17699,0.9217,0.90452,0.95433,0.59116,1.33092,0.6743,1.09551,0.001703,0.001703,0.001703
17,474.907,1.58077,0.82938,1.1756,0.9298,0.90279,0.95949,0.60176,1.31579,0.64948,1.08082,0.0016832,0.0016832,0.0016832
18,506.714,1.58071,0.82955,1.17598,0.91725,0.90866,0.95687,0.60738,1.29114,0.67493,1.07533,0.0016634,0.0016634,0.0016634
19,530.095,1.58252,0.8335,1.17654,0.92764,0.91229,0.96128,0.60409,1.29657,0.65222,1.07827,0.0016436,0.0016436,0.0016436
20,554.691,1.56997,0.81678,1.17269,0.92985,0.9118,0.96105,0.61052,1.29432,0.63991,1.07464,0.0016238,0.0016238,0.0016238
21,588.393,1.57685,0.82043,1.17205,0.93289,0.9143,0.96208,0.6158,1.28129,0.62294,1.07156,0.001604,0.001604,0.001604
22,621.861,1.5702,0.81755,1.16905,0.93553,0.91166,0.96237,0.61209,1.30336,0.61767,1.06946,0.0015842,0.0015842,0.0015842
23,646.284,1.56515,0.81185,1.16704,0.92871,0.91305,0.96119,0.60792,1.28293,0.66897,1.07587,0.0015644,0.0015644,0.0015644
24,676.364,1.56023,0.80227,1.16902,0.93183,0.91694,0.96486,0.61734,1.27955,0.6381,1.07319,0.0015446,0.0015446,0.0015446
25,702.451,1.56472,0.80813,1.16744,0.93559,0.91567,0.96489,0.61675,1.27984,0.61019,1.07119,0.0015248,0.0015248,0.0015248
26,724.689,1.55065,0.79718,1.16227,0.93617,0.91444,0.96318,0.61455,1.29315,0.61332,1.07538,0.001505,0.001505,0.001505
27,755.37,1.55919,0.80283,1.16956,0.93339,0.91309,0.96309,0.61589,1.28002,0.61912,1.07229,0.0014852,0.0014852,0.0014852
28,777.561,1.55729,0.80044,1.16514,0.93612,0.91664,0.96498,0.61759,1.27321,0.60325,1.06957,0.0014654,0.0014654,0.0014654
29,803.942,1.55996,0.79798,1.1674,0.93279,0.91658,0.96452,0.61945,1.27211,0.61726,1.06676,0.0014456,0.0014456,0.0014456
30,832.194,1.5521,0.79617,1.16062,0.93805,0.91438,0.96522,0.62207,1.26365,0.60086,1.06434,0.0014258,0.0014258,0.0014258
31,857.59,1.53373,0.78388,1.1605,0.93411,0.91551,0.96414,0.61779,1.27886,0.60721,1.0736,0.001406,0.001406,0.001406
32,886.349,1.56127,0.79783,1.16609,0.93585,0.91761,0.96508,0.61277,1.2982,0.61034,1.07311,0.0013862,0.0013862,0.0013862
33,908.598,1.54231,0.78431,1.16014,0.93344,0.91348,0.96346,0.61766,1.27598,0.61209,1.06483,0.0013664,0.0013664,0.0013664
34,942.246,1.54946,0.78629,1.16104,0.93958,0.91763,0.96725,0.62032,1.28367,0.59667,1.07271,0.0013466,0.0013466,0.0013466
35,965.404,1.54296,0.78179,1.16158,0.9363,0.91954,0.96636,0.62845,1.25136,0.59982,1.05962,0.0013268,0.0013268,0.0013268
36,993.181,1.53813,0.7809,1.15451,0.93172,0.92025,0.96505,0.62389,1.26156,0.59828,1.06458,0.001307,0.001307,0.001307
37,1027.56,1.53702,0.77627,1.15887,0.93642,0.91696,0.966,0.62576,1.25171,0.60734,1.05916,0.0012872,0.0012872,0.0012872
38,1053.1,1.53632,0.78163,1.15721,0.93922,0.91781,0.9667,0.62751,1.2513,0.58476,1.06227,0.0012674,0.0012674,0.0012674
